,Unnamed: 0,login,post,likes,time,subscribers,subscriptions,Объем портфеля,Сделок за 30 дней,За год,lemm_post
20,20,Mazza,те нечаянно 100 купил,0,2021-07-15 10:07:00,5,31,до 50000 ₽,36,-4.44,нечаянно 100 купить 😁
21,21,SOLN,появился новый видеоигры составе производителей игрового железа такие nvda также разработчики издатели tcehy квал ntdoy квал квал atvi ttwo ea ntes u bili ubisoft другие обеспечивает широкую диверсификацию валютам странам входят активы китая японии южной кореи швеции тайваня франции польши полный подробный состав данного представлен скриншотах ниже,5,2021-07-15 10:07:00,245,27,от 3000000 ₽,299,0.52,"появляться новый фонд видеоигра киберспорт состав фонд акция производитель игровой  « железо »,  nvda amd также разработчик издатель видеоигр tcehy квал ),  ntdoy квал ),  se квал ),  atvi ttwo ea ntes u bili ubisoft фонд обеспечивать широкий диверсификация валюта страна входить актив сша китай япония южный корея швеция тайвань франция польша полный подробный состав данный фонд представлять скриншот низко"
22,22,MCRS,думаю стоит взять игровая индустрия постоянно востребована будущем,2,2021-07-15 10:07:00,0,12,до 10000 ₽,3,15.32,думать стоить взять данный фонд игровой индустрия постоянно востребовать будущее
23,23,bit,безумный фиксанул 100 перезашел ниже 35,0,2021-07-15 10:07:00,108,12,до 1000000 ₽,16,35.34,безумный фонд фиксануть 100 перезайти ниже 😎 35
24,24,Rezan,интересный интересные спасибо 35,44,2021-07-15 10:07:00,35532,1,от 3000000 ₽,366,17.64,интересный фонд акция интересный спасибо 35 🤡
25,25,nosolomov777,добрый вечер,3,2021-07-15 10:07:00,8,8,до 10000 ₽,105,147.99,добрый вечер 🗿
26,26,nred,,2,2021-07-15 10:07:00,1,18,до 1000000 ₽,35,21.1,
27,27,deck0,аномально,2,2021-07-15 10:07:00,33,98,до 500000 ₽,254,19.03,аномально
28,28,your_rubicon,походу баг подлетал моменте 100р,0,2021-07-15 10:07:00,9,18,до 500000 ₽,83,23.8,поход баг какой-то подлетать момент 100р
29,29,Glock,74 хотел тебе,1,2021-07-15 10:07:00,12,63,до 1000000 ₽,31,24.76,74 хотеть купить 😕
