,Unnamed: 0,login,post,likes,time
10,10,S.T.A.L.K.E.R.74,решил сделать ставку зелёные технологии,0,2021-07-15 16:37:00
11,11,RebelRider,целом категорически против фондов тч тиньковских почему кратко платить кому мало комиссии рашке конские сделать самостоятельно пример it сектор сша тиньковый ipo просто купить соотношении получать дивиденды получать пример фонды нефтянников фонды s p инвестировать целый сектор интересны конкретные компании курсе диверсификацию против передиверсификации пример снова it нравится apple нравится microsoft главный минус двойная тройная обёрточных фондов например тинькоф золото получается главный единственный плюс фондов копеечный порог входа исходя новый приглянулся обёрточным является большая обычная рашки большая часть бумаг доступна квалам некоторые рад купить бумаги этих направлений очень волатильные именно помешает та самая диверсификация возьмём пробу мере просадки будем потихоньку усреднять лесенкой,7,2021-07-15 16:35:00
12,12,bIack,пожалуй самых востребованных фондов ближайших десятилетий спасибо tinkoff_investments,2,2021-07-15 16:01:00
13,13,InvestFuture,разбираем новый тинькофф линейке бпифов тинькофф капитал пополнение сектор esg аббревиатура esg расшифровывается environmental social governance окружающая среда общество управление подразумевает активную вовлеченность бизнеса решение экологических социальных проблем тинькофф green economy фокусируется компаниях развивающих экологически чистые технологии стоимость одного пая менее 10 однако лот состоит 100 паев структура фонда фонде 41 акция половина американские компании заметные доли других стран китай 13 франция 9 великобритания 7 известные компании tesla li auto nio solaredge sunrun другие доли сбалансированы минимальный вес одной бумаги 2 максимальный 3 5 важный нюанс покупаются напрямую покупку готового etf любят делать многие отечественные ук комиссиями своем приложении тинькофф сообщает клиентам нулевых комиссиях новые бпифы брокерские депозитарные комиссии отсутствуют однако инвестиционной декларации следует размер комиссий доходить 99 год сча стоимости чистых активов вознаграждение ук 9 вознаграждение специализированному депозитарию регистратору бирже 05 иные расходы 04 факту фонда отсутствует лишь брокерская покупать приложение тинькофф мнение investfuture сама идея фонда выглядит неплохо бпифов отдельные сектора действительно хватает рынке стать решением тех хочет рискнуть поставить перспективное направление выбирая конкретные бумаги относитесь новому фонду тинькофф,55,2021-07-15 14:32:00
14,14,Lisota123,днище,3,2021-07-15 14:27:00
15,15,Maximzub,,0,2021-07-15 14:21:00
16,16,China_Stock,075 рассмотреть,13,2021-07-15 14:03:00
17,17,V_A_N,вчера купил 100 данный летит вниз пока уверенности сделал правильно повёлся новый хай зелёную волну т д ещё ниже лететь понятно развод тинькоф который спецом хай поднял местами просто раздражает ещё банк стал говнобанком свои обязательства выполняют постоянно извинения приносят свое твердят бараны верно часто вникая ситуацию желания нету кого пример 3 скрина скинул поддержку лепят чушь всякую смотреть свечи якобы актуально цифры отражаются вникли несколько разных сотрудников сами знают прогу компетентные просто отписываются работает корректно бред короче вывод испортился тинькоф всем лично является инвестиционной идеей,3,2021-07-15 14:03:00
18,18,Resana,тренд экологию достаточно активен всё просто ищешь способы сохранить планету ищешь новые места обитания человек приспособиться чему угодно подходящей среде легче сохранить здоровье говорите важно важно приносит доход,5,2021-07-15 13:48:00
19,19,Palehoff,отличный каком уровне заходить кого какие оценки,0,2021-07-15 13:20:00
20,20,Mimokrokodil228,закупился прям хаях хайпе лол,4,2021-07-15 12:47:00
21,21,bmx666,tspx tech tbio собрал экспериментальный портфель фондов тинькофф отдельный счёт посмотрим всё радужно описании,7,2021-07-15 12:39:00
22,22,hyh,хочется брать сей причине цены 0982 сколько возьмешь тучу этих фантиков продаже счет округления маленьких цифр получаешь меньше поможет сделали взрослому цена 10 штучку вперед кувыркаться,5,2021-07-15 12:13:00
23,23,rules93,купил купил плечом ах,3,2021-07-15 11:51:00
24,24,highasf,спасибо дикий скам 5 момента входа,5,2021-07-15 11:37:00
25,25,We_Trust_In_Ddollar,бред,8,2021-07-15 10:58:00
26,26,onway,экологически чистый утилизатор денег давно хотел избавиться,16,2021-07-15 10:56:00
27,27,Michael_Myers,гады нахрена нужно думаю средний p e фонда 200 старте включили цену потенциальный рост 2 3 года,6,2021-07-15 10:42:00
28,28,Playtester,tinkoff_investments tinkoff_capital респект благодарность осталось последнее желание esg ти,0,2021-07-15 10:37:00
29,29,berninvest,почему,5,2021-07-15 10:05:00
